date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Odisha,Sambalpur,768222,440,276
01-03-2025,Odisha,Khordha,752050,184,408
01-03-2025,Odisha,Khordha,752115,16,11
01-03-2025,Odisha,Kalahandi,766001,244,407
01-03-2025,Odisha,Mayurbhanj,757046,150,190
01-03-2025,Odisha,Bhadrak,756113,70,121
01-03-2025,Odisha,Jagatsinghpur,754104,67,183
01-03-2025,Odisha,Khordha,752101,14,52
01-03-2025,Odisha,Khordha,751016,56,81
01-03-2025,Odisha,Ganjam,761001,95,114
01-03-2025,Odisha,Subarnapur,767045,142,208
01-03-2025,Odisha,Kendrapara,754244,43,81
01-03-2025,Odisha,Subarnapur,767016,51,196
01-03-2025,Odisha,Balasore,756055,51,41
01-03-2025,Odisha,Nayagarh,752083,93,112
01-03-2025,Odisha,Jharsuguda,768204,38,58
01-03-2025,Odisha,Kandhamal,762101,185,464
01-03-2025,Odisha,Ganjam,761121,199,304
01-03-2025,Odisha,Bargarh,768033,192,337
01-03-2025,Odisha,Balasore,756051,32,33
01-03-2025,Odisha,Khordha,751006,140,195
01-03-2025,Odisha,Sundargarh,770020,12,41
01-03-2025,Odisha,Sundargarh,770033,15,191
01-03-2025,Odisha,Bhadrak,756123,14,30
01-03-2025,Odisha,Kendrapara,754250,90,220
01-03-2025,Odisha,Kendrapara,754211,283,421
01-03-2025,Odisha,Balasore,756056,58,93
01-03-2025,Odisha,Kalahandi,766016,44,36
01-03-2025,Odisha,Balasore,756058,99,77
01-03-2025,Odisha,Ganjam,761120,83,96
01-03-2025,Odisha,Ganjam,761054,108,136
01-03-2025,Odisha,Khordha,751009,26,45
01-03-2025,Odisha,Keonjhar,758076,144,402
01-03-2025,Odisha,Khordha,752054,134,241
01-03-2025,Odisha,Sundargarh,769014,25,55
01-03-2025,Odisha,Puri,752114,28,36
01-03-2025,Odisha,Bhadrak,756119,171,339
01-03-2025,Odisha,Khordha,752021,170,296
01-03-2025,Odisha,Bargarh,768029,315,515
01-03-2025,Odisha,Puri,752016,16,61
01-03-2025,Odisha,Kandhamal,762012,94,187
01-03-2025,Odisha,Kandhamal,762019,76,222
01-03-2025,Odisha,Balangir,767040,199,568
01-03-2025,Odisha,Ganjam,761124,87,168
01-03-2025,Odisha,Balasore,756042,27,52
01-03-2025,Odisha,Koraput,764020,115,97
01-03-2025,Odisha,Jajpur,755026,207,427
01-03-2025,Odisha,Sambalpur,768221,40,48
01-03-2025,Odisha,Balasore,756126,136,201
01-03-2025,Odisha,Nayagarh,752063,192,489
01-03-2025,Odisha,Jajpur,755013,37,59
01-03-2025,Odisha,Cuttack,754112,88,232
01-03-2025,Odisha,Nayagarh,752079,121,303
01-03-2025,Odisha,Sundargarh,770035,164,381
01-03-2025,Odisha,Angul,759118,98,187
01-03-2025,Odisha,Kendrapara,754246,134,220
