pincode,district
758081,Keonjhar
758082,Keonjhar
758083,Keonjhar
758084,Keonjhar
758085,Keonjhar
758086,Keonjhar
758087,Keonjhar
759001,Dhenkanal
759013,Dhenkanal
759014,Dhenkanal
759015,Dhenkanal
759016,Dhenkanal
759017,Dhenkanal
759018,Dhenkanal
759019,Dhenkanal
759020,Dhenkanal
759021,Dhenkanal
759022,Dhenkanal
759023,Dhenkanal
759024,Dhenkanal
759025,Dhenkanal
759026,Dhenkanal
759027,Dhenkanal
759028,Dhenkanal
759029,Angul
759037,Angul
759039,Dhenkanal
759040,Angul
759100,Angul
759101,Angul
759102,Angul
759103,Angul
759104,Angul
759105,Angul
759106,Angul
759107,Angul
759111,Angul
759116,Angul
759117,Angul
759118,Angul
759119,Angul
759120,Dhenkanal
759121,Dhenkanal
759122,Angul
759123,Angul
759124,Angul
759125,Angul
759126,Angul
759127,Angul
759128,Angul
759129,Angul
759130,Angul
759132,Angul
759135,Angul
759141,Angul
759143,Angul
759145,Angul
759146,Dhenkanal
759147,Angul
759148,Angul
760001,Ganjam
760002,Ganjam
760003,Ganjam
760004,Ganjam
760005,Ganjam
760006,Ganjam
760007,Ganjam
760008,Ganjam
760009,Ganjam
760010,Ganjam
760020,Boudh
761001,Ganjam
761002,Ganjam
761003,Ganjam
761004,Ganjam
761005,Ganjam
761006,Ganjam
761007,Ganjam
761008,Ganjam
761009,Ganjam
761010,Ganjam
761011,Ganjam
761012,Ganjam
761013,Ganjam
761014,Ganjam
761015,Gajapati
761016,Gajapati
761017,Gajapati
761018,Ganjam
761019,Ganjam
761020,Ganjam
761025,Ganjam
761026,Ganjam
761027,Ganjam
761028,Ganjam
761029,Ganjam
761030,Ganjam
761031,Ganjam
761032,Ganjam
761035,Ganjam
761037,Ganjam
761040,Ganjam
761041,Ganjam
761042,Ganjam
761043,Ganjam
761045,Ganjam
761052,Ganjam
761054,Ganjam
761055,Ganjam
761100,Ganjam
761101,Ganjam
761102,Ganjam
761103,Ganjam
761104,Ganjam
761105,Ganjam
761106,Ganjam
761107,Ganjam
761108,Ganjam
761109,Ganjam
761110,Ganjam
761111,Ganjam
761114,Ganjam
761115,Ganjam
761116,Ganjam
761117,Ganjam
761118,Ganjam
761119,Ganjam
761120,Ganjam
761121,Ganjam
761122,Ganjam
761123,Ganjam
761124,Ganjam
761125,Ganjam
761126,Ganjam
761131,Ganjam
761132,Ganjam
761133,Ganjam
761140,Ganjam
761141,Ganjam
761143,Ganjam
761144,Ganjam
761146,Ganjam
761151,Ganjam
761200,Gajapati
761201,Gajapati
761206,Gajapati
761207,Gajapati
761208,Gajapati
761209,Ganjam
761210,Gajapati
761211,Gajapati
761212,Gajapati
761213,Gajapati
761214,Gajapati
761215,Gajapati
761217,Gajapati
762001,Kandhamal
762002,Kandhamal
762010,Kandhamal
762011,Kandhamal
762012,Kandhamal
762013,Boudh
762014,Boudh
762015,Boudh
762016,Boudh
762017,Boudh
762018,Boudh
762019,Kandhamal
762020,Boudh
762021,Kandhamal
762022,Kandhamal
762023,Boudh
762024,Boudh
762026,Boudh
762027,Kandhamal
762028,Kandhamal
762029,Kandhamal
762030,Boudh
762100,Kandhamal
762101,Kandhamal
762102,Kandhamal
762103,Kandhamal
762104,Kandhamal
762105,Kandhamal
762106,Kandhamal
762107,Kandhamal
762109,Kandhamal
762110,Kandhamal
762112,Kandhamal
763001,Koraput
763002,Koraput
763003,Koraput
763004,Koraput
763008,Koraput
764001,Koraput
764002,Koraput
764003,Koraput
764004,Koraput
764005,Koraput
764006,Koraput
764011,Koraput
764014,Koraput
764020,Koraput
764021,Koraput
764027,Koraput
764028,Koraput
764036,Koraput
764037,Koraput
764038,Koraput
764039,Koraput
764040,Koraput
764041,Koraput
764042,Malkangiri
764043,Koraput
764044,Malkangiri
764045,Malkangiri
764046,Malkangiri
764047,Malkangiri
764048,Malkangiri
764049,Nabarangpur
764051,Malkangiri
764052,Malkangiri
764055,Koraput
764056,Koraput
764057,Koraput
764058,Koraput
764059,Nabarangpur
764061,Nabarangpur
764062,Rayagada
764063,Koraput
764070,Nabarangpur
764071,Nabarangpur
764072,Nabarangpur
764073,Nabarangpur
764074,Nabarangpur
764075,Nabarangpur
764076,Nabarangpur
764077,Nabarangpur
764078,Nabarangpur
764081,Koraput
764085,Nabarangpur
764086,Malkangiri
764087,Malkangiri
764088,Nabarangpur
765001,Rayagada
765002,Rayagada
765013,Koraput
765015,Rayagada
765016,Rayagada
765017,Rayagada
765018,Rayagada
765019,Rayagada
765020,Rayagada
765021,Rayagada
765022,Rayagada
765023,Rayagada
765024,Rayagada
765025,Rayagada
765026,Rayagada
765029,Rayagada
765033,Rayagada
765034,Rayagada
766001,Kalahandi
766002,Kalahandi
766011,Kalahandi
766012,Kalahandi
766013,Kalahandi
766014,Kalahandi
766015,Kalahandi
766016,Kalahandi
766017,Kalahandi
766018,Kalahandi
766019,Kalahandi
766020,Kalahandi
766023,Kalahandi
766026,Kalahandi
766027,Kalahandi
766028,Kalahandi
766029,Kalahandi
766031,Kalahandi
766032,Kalahandi
766036,Kalahandi
766037,Kalahandi
766100,Kalahandi
766101,Kalahandi
766102,Kalahandi
766103,Kalahandi
766104,Nuapada
766105,Nuapada
766106,Nuapada
766107,Nuapada
766108,Nuapada
766110,Kalahandi
766111,Nuapada
766117,Nuapada
766118,Nuapada
767001,Balangir
767002,Balangir
767016,Subarnapur
767017,Subarnapur
767018,Subarnapur
767019,Subarnapur
767020,Balangir
767021,Balangir
767022,Balangir
767023,Subarnapur
767024,Balangir
767025,Balangir
767026,Balangir
767027,Balangir
767028,Balangir
767029,Balangir
767030,Balangir
767032,Balangir
767033,Balangir
767034,Subarnapur
767035,Balangir
767037,Balangir
767038,Balangir
767039,Balangir
767040,Balangir
767041,Balangir
767042,Balangir
767045,Subarnapur
767046,Balangir
767048,Balangir
767061,Balangir
767062,Subarnapur
767065,Balangir
767066,Balangir
767067,Balangir
767068,Subarnapur
767070,Balangir
768001,Sambalpur
768002,Sambalpur
768003,Sambalpur
768004,Sambalpur
768005,Sambalpur
768006,Sambalpur
768016,Sambalpur
768017,Sambalpur
768018,Sambalpur
768019,Sambalpur
768020,Sambalpur
768025,Sambalpur
768026,Sambalpur
768027,Bargarh
768028,Bargarh
768029,Bargarh
768030,Bargarh
768031,Bargarh
768032,Bargarh
768033,Bargarh
768034,Bargarh
768035,Bargarh
768036,Bargarh
768037,Bargarh
768038,Bargarh
768039,Bargarh
768040,Bargarh
768042,Bargarh
768045,Bargarh
768048,Bargarh
768049,Bargarh
768050,Bargarh
768052,Bargarh
768102,Bargarh
768103,Bargarh
768104,Bargarh
768105,Sambalpur
768106,Sambalpur
768107,Sambalpur
768108,Deogarh
768109,Deogarh
768110,Deogarh
768111,Bargarh
768112,Sambalpur
768113,Sambalpur
768115,Bargarh
768118,Sambalpur
768119,Deogarh
768121,Deogarh
768200,Sambalpur
768201,Jharsuguda
768202,Jharsuguda
768203,Jharsuguda
768204,Jharsuguda
768211,Jharsuguda
768212,Sambalpur
768213,Jharsuguda
768214,Sambalpur
768215,Jharsuguda
768216,Jharsuguda
768217,Jharsuguda
768218,Jharsuguda
768219,Jharsuguda
768220,Jharsuguda
768221,Sambalpur
768222,Sambalpur
768224,Sambalpur
768225,Jharsuguda
768226,Jharsuguda
768227,Sambalpur
768228,Sambalpur
768233,Jharsuguda
768234,Jharsuguda
769001,Sundargarh
769002,Sundargarh
769003,Sundargarh
769004,Sundargarh
769005,Sundargarh
769006,Sundargarh
769007,Sundargarh
769008,Sundargarh
769009,Sundargarh
769010,Sundargarh
769011,Sundargarh
769012,Sundargarh
769013,Sundargarh
769014,Sundargarh
769015,Sundargarh
769016,Sundargarh
769042,Sundargarh
769043,Sundargarh
770001,Sundargarh
770002,Sundargarh
770011,Sundargarh
770012,Sundargarh
770013,Sundargarh
770014,Sundargarh
770015,Sundargarh
770016,Sundargarh
770017,Sundargarh
770018,Sundargarh
770019,Sundargarh
770020,Sundargarh
770021,Sundargarh
770022,Sundargarh
770023,Sundargarh
770024,Sundargarh
770031,Sundargarh
770032,Sundargarh
770033,Sundargarh
770034,Sundargarh
770035,Sundargarh
770036,Sundargarh
770037,Sundargarh
770038,Sundargarh
770039,Sundargarh
770040,Sundargarh
770041,Sundargarh
770042,Sundargarh
770043,Sundargarh
770044,Sundargarh
770046,Sundargarh
770048,Sundargarh
770051,Sundargarh
770052,Sundargarh
770070,Sundargarh
770072,Sundargarh
770073,Sundargarh
770074,Sundargarh
770075,Sundargarh
770076,Sundargarh
